class,precision,recall,f1-score,accuracy,support,samples_per_class,fold,model
Monocyte,0.4800301431801055,0.4609261939218524,0.4702842377260982,0.9500800111319836,1382.0,50,4,MAPS
NK,0.6652329749103942,0.6321525885558583,0.6482710443590639,0.9649690391706672,1468.0,50,4,MAPS
Neutrophil,0.6295754026354319,0.625,0.6272793581327497,0.9822236137201698,688.0,50,4,MAPS
Other,0.45448227936066715,0.6405484818805093,0.5317073170731706,0.9599248591108328,1021.0,50,4,MAPS
Treg,0.36769533814839134,0.834575260804769,0.5104831358249772,0.9626382801085368,671.0,50,4,MAPS
Tumor,0.7727272727272727,0.8232445520581114,0.7971864009378664,0.9759270855075489,1652.0,50,4,MAPS
overall,0.565458452885787,0.6506964407126059,0.5864235127648338,0.5997008279412788,,50,4,MAPS
B,0.0,0.0,0.0,0.8872886662492173,3240.0,10,1,MAPS
CD4 T,0.3984343366176272,0.39381003201707576,0.3961086883596109,0.6868781743546928,7496.0,10,1,MAPS
CD8 T,0.49607843137254903,0.2159931701764371,0.3009516256938938,0.8773394559243025,3514.0,10,1,MAPS
DC,0.0,0.0,0.0,0.9329645863772351,1927.0,10,1,MAPS
Endothelial,0.0,0.0,0.0,0.9394350518332986,1741.0,10,1,MAPS
Epithelial,0.0,0.0,0.0,0.9843456480901691,450.0,10,1,MAPS
Lymphatic,0.0,0.0,0.0,0.9737702636888611,754.0,10,1,MAPS
M1,0.0,0.0,0.0,0.9784317818131218,620.0,10,1,MAPS
M2,0.10557184750733138,0.07412491420727522,0.0870967741935484,0.9212412161692062,1457.0,10,1,MAPS
Mast,0.0,0.0,0.0,0.9768663466221388,665.0,10,1,MAPS
Monocyte,0.21598062953995156,0.3227206946454414,0.25877574702639977,0.9111180686008488,1382.0,10,1,MAPS
NK,0.4756348661633493,0.4720708446866485,0.47384615384615386,0.9464621164683782,1468.0,10,1,MAPS
Neutrophil,0.0,0.0,0.0,0.976066235302303,688.0,10,1,MAPS
Other,0.09175691937424789,0.5974534769833496,0.1590820185161038,0.7756557434077784,1021.0,10,1,MAPS
Treg,0.05048231511254019,0.23397913561847988,0.08304681301243057,0.8793919153969247,671.0,10,1,MAPS
Tumor,0.11609738372093023,0.38680387409200967,0.1785913918390162,0.7955193766089195,1652.0,10,1,MAPS
overall,0.12187729558803292,0.16855975890166983,0.12109370078044732,0.2213873234536979,,10,1,MAPS
B,0.39555061179087875,0.5487654320987654,0.45972850678733035,0.8546232519307034,3240.0,20,4,MAPS
CD4 T,0.4343598055105348,0.07150480256136606,0.12279495990836195,0.733597717943366,7496.0,20,4,MAPS
CD8 T,0.3412858249419055,0.6269208878770631,0.44197010733273145,0.8064774229458012,3514.0,20,4,MAPS
DC,0.20555073720728534,0.12298910223144785,0.1538961038961039,0.9093439087177346,1927.0,20,4,MAPS
Endothelial,0.8031651829871415,0.46639862148190697,0.5901162790697674,0.9607597578793571,1741.0,20,4,MAPS
Epithelial,0.0,0.0,0.0,0.9843456480901691,450.0,20,4,MAPS
Lymphatic,0.28293736501079914,0.17374005305039789,0.21528348397699262,0.9667779865024699,754.0,20,4,MAPS
M1,0.2173202614379085,0.4290322580645161,0.2885032537960954,0.9543588673206707,620.0,20,4,MAPS
M2,0.25823389021479715,0.3713109128345916,0.3046171171171171,0.9140750017393724,1457.0,20,4,MAPS
Mast,0.11823839157491622,0.37142857142857144,0.1793754538852578,0.9213803659639602,665.0,20,4,MAPS
Monocyte,0.37311286843997127,0.3755426917510854,0.3743238369996394,0.9396437765254296,1382.0,20,4,MAPS
NK,0.5590496156533893,0.5449591280653951,0.5519144532597448,0.9548111041536214,1468.0,20,4,MAPS
Neutrophil,1.0,0.0014534883720930232,0.0029027576197387522,0.9761010227509914,688.0,20,4,MAPS
Other,0.2509433962264151,0.6513222331047992,0.36229910106238084,0.9185625826201906,1021.0,20,4,MAPS
Treg,0.3551236749116608,0.5991058122205664,0.4459234608985025,0.9652473387601753,671.0,20,4,MAPS
Tumor,0.6451612903225806,0.7506053268765133,0.693900391717963,0.9619425311347666,1652.0,20,4,MAPS
overall,0.3900020572643865,0.3815674576261925,0.3242218292079829,0.36102414248938985,,20,4,MAPS
B,0.3793636082792709,0.3790123456790123,0.37918789563069316,0.8601196688234884,3240.0,20,3,MAPS
CD4 T,0.5820224719101124,0.310965848452508,0.4053560559951309,0.7620886384192583,7496.0,20,3,MAPS
CD8 T,0.29246231155778896,0.33124644280022764,0.310648518815052,0.8202880400751409,3514.0,20,3,MAPS
DC,0.18478260869565216,0.017644006227296314,0.03221222169587873,0.9289292423293676,1927.0,20,3,MAPS
Endothelial,0.5689166193987522,0.5761056863871339,0.5724885844748859,0.9478884018646072,1741.0,20,3,MAPS
Epithelial,0.038359083644112946,0.16,0.0618822518263859,0.9240589995129758,450.0,20,3,MAPS
Lymphatic,0.07972665148063782,0.09283819628647215,0.08578431372549021,0.9480971265567383,754.0,20,3,MAPS
M1,0.0,0.0,0.0,0.9784317818131218,620.0,20,3,MAPS
