ligand,receptor,median_responder,median_nonresponder,difference
THBS1,CD36,22.884721239285994,21.504296656080705,1.380424583
THBS2,CD36,22.55813953488372,20.224719101123593,2.333420433760125
THBS1,CD47,31.283947970268724,23.997303673744526,7.286644296524198
THBS2,CD47,31.88405797101449,24.80620155,7.077856421
ADGRE5,CD55,40.67796610169492,42.41573033707866,-1.737764235
APP,CD74,76.14102564102564,72.84768211920529,3.293343521820347
ENTPD1,ADORA2A,16.853932584269664,12.827575938058368,4.026356646211296
CD40LG,CD40,25.290697674418606,29.880011706175008,-4.589314032
PTPRC,MRC1,22.649840077875123,27.198446794448113,-4.548606717
CD80,CD274,20.792079207920793,24.324324324324326,-3.532245116
CD80,CD28,26.25,27.586206896551722,-1.336206897
CD80,CTLA4,17.20430107526882,24.637681159420293,-7.433380084
CD86,CD28,26.283507496592456,34.58254269449715,-8.299035198
CD86,CTLA4,19.95575221238938,24.53846153846154,-4.582709326
CDH1,CDH1,100,100,0
CDH1,ITGA2_ITGB1,63.91304347826087,68,-4.086956522
CDH5,CDH5,100,100,0
CD209,CEACAM1,18.11023622047244,15.833333333333332,2.2769028871391086
CLEC2D,KLRB1,25.85985213757634,24.581005586592177,1.2788465509841629
CLEC2B,KLRB1,21.607396870554766,20.58066361556064,1.0267332549941273
CD69,KLRB1,25.625300625300625,25.423728813559322,0.201571812
EFNA1,EPHA2,22.105263157894736,22.238417490890164,-0.133154333
EFNA1,EPHA3,18.181818181818183,18.318009387256478,-0.136191205
EFNA1,EPHA4,13.924050632911392,12.64269406392694,1.2813565689844513
EFNA1,EPHA7,12.76595744680851,11.284722222222221,1.481235224586289
EFNA4,EPHA2,21.27659574468085,21.311475409836063,-0.034879665
EFNA4,EPHA3,21.296296296296298,18.181818181818183,3.114478114478114
EFNA4,EPHA4,14.754098360655737,13.756613756613756,0.9974846040419809
EFNA4,EPHA7,14.285714285714285,10.909090909090908,3.3766233766233764
EFNA5,EPHA2,24.59016393442623,22.44851258581236,2.1416513486138697
EFNA5,EPHA3,22.123893805309734,16.98002350176263,5.143870303547104
EFNA5,EPHA4,13.636363636363635,14.368421052631579,-0.732057416
EFNA5,EPHA7,12.5,14.407407407407408,-1.907407407
EFNA5,EPHB2,29.20353982300885,22.483870967741936,6.719668855266914
EFNB1,EPHA4,11.842105263157894,10.500282645562464,1.3418226175954295
EFNB1,EPHB2,28.57142857142857,23.820754716981135,4.7506738544474345
EFNB1,EPHB3,24.561403508771928,20.250146713615024,4.311256795156904
EFNB1,EPHB4,21.98952879581152,21.342270771267792,0.6472580245437278
EFNB2,EPHA4,15.71157495256167,14.965034965034965,0.7465399875267043
EFNB2,EPHB2,24.75156704,28.947368421052634,-4.195801382
EFNB2,EPHB3,24.71853257432005,21.092843326885877,3.625689247434174
EFNB2,EPHB4,29.29580047680176,30.384828349944627,-1.089027873
EFNB3,EPHA4,24.324324324324326,13.043478260869565,11.280846063454762
EFNB3,EPHB2,36.231884057971016,33.116883116883116,3.1150009410878994
EFNB3,EPHB3,34.55882352941176,16.363636363636363,18.195187165775398
EFNB3,EPHB4,32.142857142857146,25.37313432835821,6.769722814498937
EFNB3,EPHB6,38.095238095238095,32.323232323232325,5.772005772
ESAM,ESAM,100,100,0
